,Location,Times,Tweets
510,Oregon,2018-02-28 07:15:00,1
511,Oregon,2018-02-28 07:30:00,1
512,Oregon,2018-02-28 07:45:00,3
513,Oregon,2018-02-28 08:00:00,2
514,Oregon,2018-02-28 08:15:00,2
515,Oregon,2018-02-28 08:30:00,5
516,Oregon,2018-02-28 08:45:00,5
517,Oregon,2018-02-28 09:00:00,3
518,Oregon,2018-02-28 09:15:00,7
519,Oregon,2018-02-28 09:30:00,9
520,Oregon,2018-02-28 09:45:00,9
521,Oregon,2018-02-28 10:00:00,8
522,Oregon,2018-02-28 10:15:00,11
523,Oregon,2018-02-28 10:30:00,16
524,Oregon,2018-02-28 10:45:00,16
525,Oregon,2018-02-28 11:00:00,14
526,Oregon,2018-02-28 11:15:00,12
527,Oregon,2018-02-28 11:30:00,19
528,Oregon,2018-02-28 11:45:00,5
529,Oregon,2018-02-28 12:00:00,6
530,Oregon,2018-02-28 12:15:00,5
531,Oregon,2018-02-28 12:30:00,4
532,Oregon,2018-02-28 12:45:00,9
533,Oregon,2018-02-28 13:00:00,3
534,Oregon,2018-02-28 13:15:00,8
535,Oregon,2018-02-28 13:30:00,11
536,Oregon,2018-02-28 13:45:00,7
537,Oregon,2018-02-28 14:00:00,1
538,Oregon,2018-02-28 14:15:00,4
539,Oregon,2018-02-28 14:30:00,5
540,Oregon,2018-02-28 14:45:00,2
541,Oregon,2018-02-28 15:00:00,7
542,Oregon,2018-02-28 15:15:00,9
543,Oregon,2018-02-28 15:30:00,18
544,Oregon,2018-02-28 15:45:00,22
545,Oregon,2018-02-28 16:00:00,9
546,Oregon,2018-02-28 16:15:00,14
547,Oregon,2018-02-28 16:30:00,12
548,Oregon,2018-02-28 16:45:00,4
549,Oregon,2018-02-28 17:00:00,4
550,Oregon,2018-02-28 17:15:00,9
551,Oregon,2018-02-28 17:30:00,5
552,Oregon,2018-02-28 17:45:00,8
553,Oregon,2018-02-28 18:00:00,14
554,Oregon,2018-02-28 18:15:00,1
555,Oregon,2018-02-28 18:30:00,11
556,Oregon,2018-02-28 18:45:00,20
557,Oregon,2018-02-28 19:00:00,5
558,Oregon,2018-02-28 19:15:00,5
559,Oregon,2018-02-28 19:30:00,9
560,Oregon,2018-02-28 19:45:00,2
561,Oregon,2018-02-28 20:00:00,5
562,Oregon,2018-02-28 20:15:00,2
563,Oregon,2018-02-28 20:30:00,5
564,Oregon,2018-02-28 20:45:00,7
565,Oregon,2018-02-28 21:00:00,13
566,Oregon,2018-02-28 21:15:00,9
567,Oregon,2018-02-28 21:30:00,9
568,Oregon,2018-02-28 21:45:00,8
569,Oregon,2018-02-28 22:00:00,10
570,Oregon,2018-02-28 22:15:00,6
571,Oregon,2018-02-28 22:30:00,11
572,Oregon,2018-02-28 22:45:00,7
573,Oregon,2018-02-28 23:00:00,2
574,Oregon,2018-02-28 23:15:00,7
575,Oregon,2018-02-28 23:30:00,3
576,Oregon,2018-02-28 23:45:00,4
577,Oregon,2018-03-01 00:00:00,4
578,Oregon,2018-03-01 00:15:00,1
579,Oregon,2018-03-01 00:30:00,12
580,Oregon,2018-03-01 00:45:00,2
581,Oregon,2018-03-01 01:00:00,3
582,Oregon,2018-03-01 01:15:00,3
583,Oregon,2018-03-01 01:30:00,2
584,Oregon,2018-03-01 01:45:00,2
585,Oregon,2018-03-01 02:00:00,1
586,Oregon,2018-03-01 02:15:00,4
587,Oregon,2018-03-01 02:30:00,5
588,Oregon,2018-03-01 02:45:00,1
